id,raw_text,title,url
r01,"4 chayotes
4 cucharadas de maicena
3-4 taza de azúcar
2 yemas de huevo
1 taza de leche
1 cucharadita de sal
2 cucharadas de pasas
2 cucharadas de mantequilla
derretida
1-2 taza de galleta en polvo
Parta los chayotes a lo largo y
hierva. Cuando estén blandos sa
que la pulpa y maje bien. Bata
las yemas con el azúcar, añádale
la sal, y la maicena, la leche, los
chayotes majados, la mantequilla
y las papas. Ponga al fuego y cue
za hasta que espese como una
crema. Rellene las cortezas con
la crema y espolvoree canela por
encima. Ponga al horno por diez
minutos.",chayote a la crema,https://chroniclingamerica.loc.gov/lccn/sn82001257/1954-02-13/ed-1/seq-4/
r02,"Receta Básica: Se llena el re
ceptáculo de la ablandadora
eléctrica hasta la mitad de su
capacidad, con hielo bien pica
dito. Luego se le agregan 1 1-2
tazas de café frío bien cargado,
de 1 a 2 cucharadas de azúcar y
1-2 cucharadita de vainilla. Se
ablanda eléctricamente durante
unos 2 ó 3 minutos. Se obtienen
4 vasos de un batido espumoso
riquisimo.
Variaciones: en vez del azúcar
se le agregan al batido 3 cucha
radas de almíbar de chocolate
endulzado. Puede substituir el
extracto de vainilla por 3 o 4 cu
charadas dé ron. También pue
de agregar a la receta básica 1-2
cucharadita de canela en polvo.
Si desea puede agregar alrede
dor de 4 ó 5 cucharadas de hela
do de vainilla a la recela básica
y no usar vainilla. Si desea pue
de adornar el refresco con crema
batida.",refresco espumoso de café,https://chroniclingamerica.loc.gov/lccn/sn82001257/1958-06-19/ed-1/seq-4/
r03,"1 pollo tierno (de unos 1-1-2
kilos), partido en 4 pedazos
1-2 taza de aceite de oliva
3 cucharadas de coñac
1 cebolla mediana, picada
2 cucharadas de harina
1 taza de vino blanco seco
1 cubo de bouillón de pollo
1-4 de taza de puré de tomates.
3 ramitas de perejil
1 pizca de tomillo seco
1 hoja de laurel, pequeña.
200 gramos de hongos frescos
rebanados.
1 taza de crotones de pan tos
tado.
Se rocían los pedazos de po
llo, incluyendo los menudos, con sai y pimienta. En una sartén
grande y gruesa se calienta el
aceite y se doran los pedazos de
polio por ambos lados. Aparte,
en una olla pequeña, se calien
ta el coñac; se vierte sobre el
pollo que está en la sartén y se
enciende. Después que se apa
gue el fuego, se sacan de la sar
tén los pedazos de pollo y se de
jan aparte. Se pone 'la cebolla
picada en la sartén y se dora li
geramente. Se rocía la harina por
encima y se revuelve para mez
clarla bien. Se le agregan gra
dualmente, un ingrediente a la
vez y revolviéndose constante
mente, el vino, el cubo de boui
llón disuelto en 1-2 taza de agua
caliente, el puré de tomate, el perejil y el tomillo seco y la ho
ja de laurel. Después que la sal
sa haya adquirido una consisten
cia suave, se le agregan de nue
vo las pregas de pollo. Se tapa
la sartén y se deja cocer a fue
go lento hasta que el pollo esté
casi tierno, (toma de unos 45
a 60 minutos, según el pollo).
Se le añaden los hongos rebana
dos y se sigue cocinando, con la
sartén tapada, durante unos 10 a
15 minutos más. AI servirlo, se
adorna con crotones de pan tos
tado y más perejil picado. Sír
valo en bandeja plana. La para 4
porciones.",pollo a la marengo,https://chroniclingamerica.loc.gov/lccn/sn82001257/1957-10-06/ed-1/seq-5/
r04,"6 tazas de caldo.
1-2 libra de calabaza partida
en pedazos.
2 cucharadas de harina.
1 cucharada de mantequi
lla.
Hierva la calabaza en el caldo.
Cuele y maje la calabaza, mez
cle la harina con un poco de cal
do frío, añada la mantequilla y
ponga al fuego, moviendo cons
tantemente y añada el resto del
caldo. Sazone a gusto y sirva ca
líente.",pure de calabaza,https://chroniclingamerica.loc.gov/lccn/sn82001257/1960-11-13/ed-1/seq-5/
r05,"1 pollo de 3 lbs. cortado en
pedazos
Harina de trigo, sal y pimien
ta
Grasa para freír
1-1-2 tazas de harina cernida
1 1-2 cucharadita de polvo
de hornear
1 cucharadita de sal
4 huevos
1 1-2 taza de leche
3 cucharadas de mantequilla o
margarina fortificada, derreti
da. _
Pimienta negra
Meta los pedazos de pollo en
un cartucho, con harina, sai y
pimienta, y sacuda el cartucho
para que los pedazos queden bien
cubiertos de harina. En una sar
tén grande, dote el pollo por
ambos lados, en grasa caliente.
Sáquelos y deje escurrir la gra
sa sobre un papel.
Cierna juntos la taza y media
de harina, el polvo de hornear y
la sal. Bata los huevos ligeramen
te: añádale la leche y la mante
quilla o margarina. Mezcle con
los ingredientes secos y bata con
un batidor de mano hasta que la
masa quede suave.
Vierta la masa en un molde engrasado de 12X8X2 pulgadas.
(30X17X5 cms.) coloque encima
los pedazos de pollo frito; espol
vorée con pimienta. Hornee en
horno moderado (350? F., 175?
Centígrado), por 1 hora, o has
ta que la masa suba y se dore.
Sírvalo caliente.",pollo asado  al nido,https://chroniclingamerica.loc.gov/lccn/sn82001257/1956-12-16/ed-1/seq-5/
