id,paper,state,course,course_en,tags,tags_en,ingredients,ingredients_en,ingredient_list,ingredient_list_en,directions,directions_en,title,title_en,url,,,
r01,DLA,FL,postre,dessert,vegetariano,vegetarian,chayote; maicena; azúcar; huevo; leche; sal; pasas; mantequilla; polvo de galletas,chayote; cornstarch; sugar; egg; milk; salt; raisins; butter; cracker meal,4 chayotes; 4 cucharadas de maicena; 3/4 taza de azúcar; 2 yemas de huevo; 1 taza de leche; 1 cucharadita de sal; 2 cucharadas de pasas; 2 cucharadas de mantequilla derretida; 1/2 taza de galleta en polvo,4 chayotes; 4 tablespoons cornstarch; 3/4 cup sugar; 2 egg yolks; 1 cup milk; 1 teaspoon salt; 2 tablespoons raisins; 2 tablespoons melted butter; 1-2 cup cracker meal,"Parta los chayotes a lo largo y hierva.; Cuando estén blandos saque la pulpa y maje bien.; Bata las yemas con el azúcar, añádale la sal, y la maicena, la leche, los chayotes majados, la mantequilla y las papas.; Ponga al fuego y cueza hasta que espese como una crema.; Rellene las cortezas con la crema y espolvoree canela por encima.; Ponga al horno por diez minutos.","Split the chayotes lengthwise and boil.; When they are soft take out the pulp and mash well.; Beat the yolks with the sugar, add salt, and cornstarch, milk, mashed chayotes, butter and potatoes; Put on the fire and cook until thickened like a cream; Fill the rinds with the cream and sprinkle cinnamon on top.; Bake for ten minutes.",chayote a la crema,chayote in cream,https://chroniclingamerica.loc.gov/lccn/sn82001257/1954-02-13/ed-1/seq-4/,,,
r02,DLA,FL,bebida,beverage,"vegetariano; vegano; 
sin gluten",vegetarian; vegan; gluten-free,café; azúcar; vainilla,coffee; sugar; vanilla,1 1/2 tazas de café frío bien cargado; 1 a 2 cucharadas de azúcar; 1/2 cucharadita de vainilla,1 1/2 cups of packed cold coffee; 1 to 2 tablespoons of sugar; 1/2 teaspoon vanilla.,"Se llena el receptáculo de la ablandadora eléctrica hasta la mitad de su capacidad, con hielo bien picadito.; Luego se le agregan 1 1/2 tazas de café frío bien cargado, de 1 a 2 cucharadas de azúcar y 1/2 cucharadita de vainilla.; Se ablanda eléctricamente durante unos 2 ó 3 minutos.;Se obtienen 4 vasos de un batido espumoso
riquisimo.","Fill the bowl of the electric mixer halfway with well-chopped ice.; Then add 1 1/2 cups of packed cold coffee, 1 to 2 tablespoons of sugar and 1/2 teaspoons of vanilla.; Mix for about 2 or 3 minutes.; Makes 4 glasses of a rich, frothy coffee drink.",refresco espumoso de café,frothed coffee,https://chroniclingamerica.loc.gov/lccn/sn82001257/1958-06-19/ed-1/seq-4/,,,
r03,DLA,FL,plato principal,main,,,"pollo; aceite; coñac;
cebolla; harina; vino blanco; bouillón; puré de tomates; perejil; tomillo seco; laurel; hongo; pan",chicken; oil; cognac; onion; flour; white wine; bouillón; tomato puree; parsley; dried thyme; laurel; mushroom; croutons,"1 pollo tierno (de unos 1 1/2
kilos), partido en 4 pedazos;
1/2 taza de aceite de oliva;
3 cucharadas de coñac;
1 cebolla mediana, picada;
2 cucharadas de harina;
1 taza de vino blanco seco;
1 cubo de bouillón de pollo;
1/4 de taza de puré de tomates;
3 ramitas de perejil;
1 pizca de tomillo seco;
1 hoja de laurel, pequeña;
200 gramos de hongos frescos
rebanados;
1 taza de crotones de pan tostado","1 tender chicken (about 11/2 kilos), broken into 4 pieces; 1/2 cup olive oil; 3 tablespoons cognac; 1 medium onion, chopped; 2 tablespoons flour; 1 cup dry white wine; 1 cube of chicken bouillón; 1/4 cup mashed tomatoes; 3 sprigs of parsley; 1 pinch of dried thyme; 1 bay leaf, small; 200 grams of fresh mushrooms slices; 1 cup toasted croutons","Se rocían los pedazos de pollo, incluyendo los menudos, con sai y pimienta.; En una sartén grande y gruesa se calienta el aceite y se doran los pedazos de pollo por ambos lados.; Aparte, en una olla pequeña, se calienta el coñac; se vierte sobre el pollo que está en la sartén y se enciende.; Después que se apague el fuego, se sacan de la sartén los pedazos de pollo y se dejan aparte.; Se pone la cebolla picada en la sartén y se dora ligeramente.; Se rocía la harina por encima y se revuelve para mezclarla bien.; Se le agregan gradualmente, un ingrediente a la vez y revolviéndose constante mente, el vino, el cubo de bouillón disuelto en 1/2 taza de agua caliente, el puré de tomate, el perejil y el tomillo seco y la hoja de laurel.; Después que la sal se haya adquirido una consistencia suave, se le agregan de nuevo las presas de pollo.; Se tapa la sartén y se deja cocer a fuego lento hasta que el pollo esté casi tierno, (toma de unos 45 a 60 minutos, según el pollo).; Se le añaden los hongos rebana dos y se sigue cocinando, con la sartén tapada, durante unos 10 a 15 minutos más.; AI servirlo, se adorna con crotones de pan tostado y más perejil picado.; Sírvalo en bandeja plana.; La para 4 porciones.","Chicken pieces, including giblets, are sprinkled with salt and pepper.;In a large thick pan, heat the oil and cook the chicken pieces until browned on both sides.;Separately, in a small pot, the cognac is heated; it is poured over the chicken that is in the pan and lit.;After the heat is extinguished, the pieces of chicken are taken out of the pan and set aside.;Put the chopped onion in the pan and lightly brown.;Sprinkle the flour on top and stir to mix it well.;Gradually add one ingredient at a time and constantly stirring, wine, cube of bouillón dissolved in 1/2 cup of hot water, tomato puree, parsley and dried thyme and bay leaf. ;After the salt has acquired a smooth consistency, chicken is added to it again.;Cover the pan and let it simmer until the chicken is almost tender, (takes about 45 to 60 minutes, depending on the chicken).;Add the mushrooms slices and continue cooking, with the pan covered, for about 10 to 15 more minutes.;When serving, it is garnished with croutons and more chopped parsley.;Serve on a flat tray. Serves 4. 
",pollo a la marengo,marengo chicken,https://chroniclingamerica.loc.gov/lccn/sn82001257/1957-10-06/ed-1/seq-5/,,,
r04,DLA,FL,plato principal,main,vegetariano,vegetarian,caldo; calabaza; harina; mantequilla,broth; pumpkin; flour; butter,"6 tazas de caldo;
1/2 libra de calabaza partida
en pedazos;
2 cucharadas de harina;
1 cucharada de mantequi
lla",6 cups broth; 1/2 pound split pumpkin in pieces; 2 tablespoons flour; 1 tablespoon butter,"Hierva la calabaza en el caldo.; Cuele y maje la calabaza, mezcle la harina con un poco de caldo frío, añada la mantequilla y ponga al fuego, moviendo constantemente y añada el resto del caldo.; Sazone a gusto y sirva calíente.","Boil the pumpkin in the broth.; Strain and mash the pumpkin, mix the flour with a little cold broth, add the butter and put on the fire, stirring constantly and add the rest of the broth.; Season to taste and serve warm.",pure de calabaza,pumpkin purée,https://chroniclingamerica.loc.gov/lccn/sn82001257/1960-11-13/ed-1/seq-5/,,,
r05,DLA,FL,plato principal,main,,,"pollo; harina; sal; pimienta;
grasa; polvo de hornear; huevo; leche; mantequilla",chicken; flour; salt; pepper; lard; baking powder; egg; milk; butter,"1 pollo de 3 lbs. cortado en
pedazos; harina de trigo; sal; pimienta; grasa para freír; 1 1/2 tazas de harina cernida;
1 1/2 cucharadita de polvo
de hornear;
1 cucharadita de sal;
4 huevos;
1 1/2 taza de leche;
3 cucharadas de mantequilla o
margarina fortificada, derreti
da; pimienta negra","1 3 lbs chicken cut into pieces; wheat flour, salt and pepper; oil; 1 1/2 cups sifted flour; 1 1/2 teaspoon powder baking; 1 teaspoon salt; 4 eggs; 1 1/2 cup milk; 3 tablespoons butter or fortified margarine, melted; black pepper","Meta los pedazos de pollo en un cartucho, con harina, sal y pimienta, y sacuda el cartucho para que los pedazos queden bien cubiertos de harina.; En una sartén grande, dote el pollo por ambos lados, en grasa caliente.; Sáquelos y deje escurrir la grasa sobre un papel.; Cierna juntos la taza y media de harina, el polvo de hornear y la sal.; Bata los huevos ligeramente: añádale la leche y la mantequilla o margarina.; Mezcle conlos ingredientes secos y bata con un batidor de mano hasta que la masa quede suave.; Vierta la masa en un molde engrasado de 12X8X2 pulgadas.; (30X17X5 cms.) coloque encima los pedazos de pollo frito; espolvorée con pimienta.; Hornee en horno moderado (350° F., 175° Centígrado), por 1 hora, o hasta que la masa suba y se dore.; Sírvalo caliente.","Put the chicken pieces in a cartridge, with flour, salt and pepper, and shake the cartridge so that the pieces are well covered with flour.;In a large skillet, cover the chicken on both sides, in hot oil.;Take them out and let the fat drain on a piece of paper.;Mix together the cup and a half of flour, baking powder and salt.;Beat the eggs lightly;Add the milk and butter or margarine;Mix with the dry ingredients and beat with a hand whisk until the dough is smooth.;Pour the dough into a 12X8X2-inch greased mold. (30X17X5 cms.);Place on top the pieces of fried chicken;Sprinkle with pepper;Bake at medium heat (350° F., 175° Celsius), for 1 hour, or until the dough rises and browns.;Serve hot. 
",pollo asado  al nido,roast chicken,https://chroniclingamerica.loc.gov/lccn/sn82001257/1956-12-16/ed-1/seq-5/,,,
r07,DLA,FL,plato principal,main,,,pollo; sal; pimienta; cognac; mantequilla; papa; agua; nuez moscada; huevo; crema de leche; queso,chicken; salt; pepper; cognac; butter; potato; water; nutmeg; egg; milk cream; cheese,RECIPE1 1 pollo; sal a gusto; pimienta; cognac; un cuarto libra de mantequilla; RECIPE2 2 libras de papas; agua; sal a gusto; media libra de mantequilla; pimienta; nuez moscada rallada; 2 yemas; un cuarto de creama de leche; 6 cucharadas de queso rallado,RECIPE1 1 chicken; salt and pepper to taste; cognac; a quarter pound of butter; RECIPE2 2 pounds of potatoes; water; salt to taste; half a pound of butter; pepper; grated nutmeg; 2 egg yolks; a quarter of milk cream; 6 tablespoons grated cheese,"RECIPE1 Limpie el pollo, vaíelo, lávelo y séquelo, condiméntelo con sal, rocíe el cogñac y colóquelo en el molde que vaya a usar para asarlo.; Untele la mantequilla y póngaio en el horno a temperatura regular; RECIPE2 Hierva las papas con sal, una vez que estén blandas, haga con ellas un puré, agrégele ls mantequilla, yemas, crema de leche y 4 cucharadas de queso rallado, condimente con la pimienta y la nuez moscada, poniéndolas en una fuente de horno, espolvoréa con el que so restante, rociándola con un poquito de mantequilla derretida e introdúzcala al horno bien caliente para gratinar.; Una vez el pollo esté al punte, sírvalo en presas con el puré a la duquesa.","RECIPE1 Clean the chicken, wash it and dry it, season it with salt, spray the cogñac and place it in the mold you are going to use for roasting.; Smear the butter and put it in the oven at regular temperature; RECIPE2 Boil the potatoes with salt, once they are soft, make them into a puree, add the butter, yolks, cream of milk and 4 tablespoons of grated cheese, season with pepper and nutmeg, putting them in a baking dish, sprinkle with the remaining one, sprinkle it with a little melted butter and put it in the hot oven to gratin.; Once the chicken is ready, slice and serve with the puree.",pollo al horno con puré duquesa,baked chicken with duchess puree,https://chroniclingamerica.loc.gov/lccn/sn82001257/1958-02-28/ed-1/seq-5/,,,this recipe is divided into two: explains making chicken and the puree
r08,DLA,FL,plato principal; acompañamiento,main; side,vegetariano,vegetarian,tomate; cebolla; berenjena; ajo; vino blanco; huevo; perejil; queso; polvo de galletas; sal,tomato; onion; eggplant; garlic; white wine; egg; parsley; cheese; cracker meal; salt,6 tomates; 1 cebolla; 3 berenjenas; 1 ajo; 1 taza de vino blanco; 3 yemas de huevo; perejil; 1 taza queso rallado; polvo de galletas; sal,6 tomatoes; 1 onion; 3 eggplants; 1 garlic; 1 cup white wine; 3 egg yolks; parsley; 1 cup grated cheese; cracker meal; salt,"Se dividen los tomates en dos y se vacian, se sazonan con sal y pimienta.;Se fríen con la cebolla cortada en pedacitos pequeños la berenjena en rodajas finas.;Se rocían con vino blanco.;Se añade la sal a gusto, perejil y el queso rallado.;Se deja enfriar y se agregan las tres yemas de huevo.;Se rellenan los tomates y se espolvorean con el polvo de galletas.;Se colocan en un molde, se rocían con queso parmesano rallado y se gratinan al horno durante 5 minutos.;Se sirven en su mismo jugo.","Tomatoes are divided into two and are emptied, seasoned with salt and pepper.; Fry with the onion cut into small pieces, the eggplant in thin slices. Sprinkle with white wine.; Add the salt to taste, parsley and grated cheese.; Let it cool and add the three egg yolks.; Tomatoes are stuffed and sprinkled with cracker meal.; Place in a mold, sprinkle with grated parmesan cheese and au gratin in the oven for 5 minutes.; Serve in the same juice.",tomates a la mireille,tomatoes a la mireille,https://chroniclingamerica.loc.gov/lccn/sn82001257/1957-10-13/ed-1/seq-5/,,,
r11,DLA,FL,plato principal; acompañamiento,main; side,,,habichuela; chorizo; huevo; cebolla; pimienta; manteca,beans; chorizo; egg; onion; pepper; butter,1 libra de habichuelas; 2 chorizos desmenuzados; 3 huevos batidos; 1 cucharadita de cebolla rallada; 1/4 cucharadita de pimienta; manteca,1 pound of beans; 2 crumbled chorizos; 3 beaten eggs; 1 teaspoon grated onion; 1/4 teaspoon pepper; butter,"Ablande las habichuelas y májelas.;Agregue los demás ingredientes y mezcle.;Ponga suficiente manteca en la sartén para cubrir el fondo.;Eche en la sartén, tape y cueza a fuego lento, vuelva y dore por ambos lados.","Soften the beans and mash them.; Add the other ingredients and mix.; Put enough butter in the pan to cover the bottom.; Pour into the pan, cover and simmer. Make sure to brown on both sides.",torta de habichuelas,bean omelette,https://chroniclingamerica.loc.gov/lccn/sn82001257/1957-01-01/ed-1/seq-5/,,,
r12,DLA,FL,acompañamiento,side,"vegetariano; 
sin gluten",vegetarian; gluten-free,panapén; mantequilla; sal; queso; huevo,jackfruit; butter; salt; cheese; egg,2 tazas de panapén hervido; 2 cucharadas de mantequilla; 1/2 cucharadita de sal; 2 cucharadas de queso rallado; 1 huevo batido,2 cups boiled jackfruit; 2 tablespoons butter; 1/2 teaspoon salt; 2 tablespoons grated cheese; 1 beaten egg,"Maje el panapén, añádale la sal y la mantequilla y mezcle bien.; Incorpore el huevo, la sal y el queso.; Déle forma de tortas pequeñas y fría en manteca caliente y abundante.","Mash the jackfruit, add the salt and butter and mix well.; Add the egg, salt and cheese; Shape it into small cakes and fry in plenty of hot butter.",tortitas de panapén,jackfruit pancakes,https://chroniclingamerica.loc.gov/lccn/sn82001257/1958-07-27/ed-1/seq-5/,,,
r13,DLA,FL,plato principal; acompañamiento,main; side,"
sin gluten",gluten-free,anca de rana; sal; pimienta; aceite; tomate; vino blanco; limón,frog leg; salt; peppert; oil; tomato; white wine; lemon,8 ancas de ranas bien frescas; Sal a gusto; Pimienta a gusto; Aceite; 3 tomates frescos; 1 taza de vino blanco; Jugo de limón (en abundancia),8 very fresh frog legs; salt and pepper to taste; Oil; 3 fresh tomatoes; 1 cup white wine; Lemon juice (in abundance),Se sazonan bien las ancas y se saltean con el aceite.; Se le añade después el tomate fresco picado y el vino blanco y jugo de limón.; Déjense enfriar con la cocción algunas finas hierbas picadas.; Sírvanse en conchas.,The legs are seasoned well and sautéed with the oil.; Then add the chopped fresh tomato and white wine and lemon juice.; Let cool with some fine chopped herbs.; Serve in shells.,ancas de rana a la bearnesa,frog legs a la Béarnaise,https://chroniclingamerica.loc.gov/lccn/sn82001257/1957-02-03/ed-1/seq-5/,,,
r14,DLA,FL,acompañamiento,side,vegetariano,vegetarian,amarillo (plátano); queso; mantequilla,plantain; cheese; butter,4 amarillos (plátanos maduros); 1/2 libra de queso partido en tajadas al largo; mantequilla,4 ripe plantains; 1/2 pound of cheese broken into long slices; butter,"Se monda el amarillo.; Una vez mondado se le dá un corte en el medio.; Póngase al horno, después de rellenar con el queso, en un molde con mantequilla.; Una vez dorados prepárese un almíbar blanco y sírvase.","Peel the plantains.; Once peeled cut down center.; Bake, after filling with cheese, in a mold with butter.; Once golden, prepare a white syrup and serve.",amarillo al horno,baked plantains,https://chroniclingamerica.loc.gov/lccn/sn82001257/1954-03-21/ed-1/seq-5/,,,
r15,DLA,FL,plato principal; acompañamiento,main; side,vegetariano,vegetarian,sofrito; butifarra; arroz; sal; manteca; achiote; agua,sofrito; sausage; rice; salt; butter; annatto; water,sofrito; 5 butifarras partidas; 1 1/2 libras de arroz; 1 cucharadita de sal; 3 cucharadas de manteca con achote; 3 tazas de agua,sofrito; 5 split sausages; 1 1/2 pounds of rice; 1 teaspoon salt; 3 tablespoons butter with annatto; 3 cups water,"Añada las butifarras, el arroz y la manteca al sofrito y cueza por dos minutos.; Agregue el agua y sazone a gusto.;Cueza hasta que el arroz esté un poco seco, baje el fuego, revuelva dos o tres veces y conserve tapado hasta el momento de servirlo.","Add the sausages, rice and butter with sofrito and cook for two minutes.; Add the water and season to taste.; Cook until the rice is a little dry, lower the heat, stir two or three times and keep covered until ready to serve.",arroz con butifarras,rice with sausages,https://chroniclingamerica.loc.gov/lccn/sn82001257/1957-03-24/ed-1/seq-5/,,,
r16,DLA,FL,plato principal,main,,,bacalao; cebolla; aceituna; tomate; salsa francesa,cod; onion; olive; tomato; French sauce,1 libra de bacalao; 1 cebolla rebanada; aceitunas a gusto; 2 tomates rebanados; salsa francesa,1 pound of cod; 1 sliced onion; olives to taste; 2 sliced tomatoes; French sauce,"Ponga el bacalao en agua por algunas horas para quitarle un poco de la sal.; Hierva, quite el pellejo y las espinas y corte en pedazos pequeños.; Coloque el bacalao en una fuente y adorne con las ruedas de tomate, cebollas y las aceitunas.; Vierta la salsa francesa.; Sirva con otras viandas hervidas: plátano, batata, papas, etc.","Put the cod in water for a few hours to remove some of the salt; Boil, remove the skin and scales and cut into small pieces.; Place the cod in a bowl and garnish with tomato slices, onions and olives.; Pour the French sauce.; Serve with other boiled foods: banana, sweet potato, potatoes, etc.",serenata,serenade,https://chroniclingamerica.loc.gov/lccn/sn82001257/1957-01-27/ed-1/seq-5/,,,
r18,DLA,FL,acompañamiento,side,,,seso; harina; huevo; leche,brain; flour; egg; milk,1 seso grande; 200 gramas de harina; 2 yemas; leche,1 large brain; 200 grams of flour; 2 egg yolk; milk,"Prepare un seso grande, sacándole la pielecita y cocínelo en agua y sal; escúrralo y córtelo en pedacitos.; Ponga en un tazón la harina, yemas y leche en cantidad suficiente como para formar una preparación blanda; mezcle bien, agréguele los sesos, fríalos por cucharadas en aceite caliente y a fuego moderado.","Prepare a large brain, removing the skin and cooking it in water and salt; drain it and cut it into pieces.; Put in a bowl the flour, yolks and milk in sufficient quantity to form a soft preparation; mix well, add the brains, fry them by tablespoons in hot oil and over moderate heat.",bocadillos de seso,brain fritters,https://chroniclingamerica.loc.gov/lccn/sn82001257/1957-06-30/ed-1/seq-5/,,,
r19,DLA,FL,plato principal,main,vegetariano; sin gluten,vegetarian; gluten-free,arroz; sal; agua; hoja de laurel; limón; hígados de ave; manteca; cebolla; vino marsala; pimienta negra; sal gruesa; canela; fécula de arroz; leche,rice; salt; water; bay leaf; lemon; chicken live; oil; onion; marsala wine; black pepper; coarse salt; cinnamon; rice starch; milk,2 tazas de arroz; sal gruesa; 5 tazas de agua caliente; 1 hoja de laurel; 1 cascarilla de limón; jugo de limón; 6 higados de ave; manteca; 1/2 cebolla en juliana fina; 1 vaso de vino marsala; 1 pizca de sal; 1 pizca de pimienta negra; 1 pizca de canela; 2 cucharaditas de fécula  de arroz; 1 taza de leche tibia,2 cups rice; coarse salt; 5 cups of hot water; 1 bay leaf; 1 lemon husk; lemon juice; 6 poultry livers; lard; 1/2 onion thinly cut; 1 glass of marsala wine; 1 pinch of salt; 1 pinch of black pepper; 1 pinch of cinnamon; 2 teaspoons rice starch; 1 cup warm milk,"Ponga en una olla de barro el arroz con la sal, el agua, la hoja de laurel, un trocito de cáscara de limón y un poco de jugo de limón.; Deje cocer el arroz destapado durante 15 minutos.; Retírelo del fuego y déjelo a calor dentro del horno, semiabierto para que se seque y abra el grano.; Resérvelo.; Aparte, en una sartén, ponga abundante manteca y fría en ella los hígados de ave, limpios y lavados en leche.; Cuando comiencen a dorarse, añada la cebolla, el vino y los condimentos.; Deslía la fécula de arroz en la leche y agréguele para espesar ligeramente la salsa.; Revuelva con suavidad para mezclar todo bien.; Esta preparación debe hacerse a temperatura media para que los hígados no se endurezcan.; Presente en una fuente grande, colocando la salsa de hígados en el centro y el arroz como borde.","Put in a clay pot the rice with the salt, water, bay leaf, a piece of lemon peel and a little lemon juice.; Let the uncovered rice cook for 15 minutes.; Remove it from the heat and leave it warm inside the oven, semi-open to dry and open the grain. Save on the side.; Apart, in a pan, put plenty of butter and fry the poultry livers ( clean and washed in milk) in it.; When they begin to brown, add the onion, wine and seasonings; Slide the rice starch into the milk and thicken it to lightly thicken the sauce.; Stir gently to mix everything well.; This preparation should be made at medium temperature so that the livers do not harden.; Present in a large dish, placing the liver sauce in the center and the rice as a border.",arroz con higados de pollo a la salvadorena,Salvadorean rice and chicken,https://chroniclingamerica.loc.gov/lccn/sn82001257/1957-09-21/ed-1/seq-5/,,,
r20,DLA,FL,plato principal,main,,,macarrones; agua; sal; jamón; aceite; cebolla; ajo; sobreasada; pasta de tomate,macaroni; water; salt; ham; oil; onion; garlic; sobrassada; tomato paste,1 libra de macarrones; 8 tazas de agua; 2 cucharadas de sal; 1/4 de libra de jamón partido; 1/2 taza de aceite; 2 cebollas partidas; 1 diente de ajo machacado; 1/4 de libra de sobreasada des menuzada; 1 lata de pasta de tomate; 1 taza de agua,1 pound of macaroni; 8 cups of water; 2 tablespoons salt; 1/4 pound of broken ham; 1/2 cup oil; 2 split onions; 1 clove of crushed garlic; 1/4 pound of oversized des menuzada; 1 can of tomato paste; 1 cup water,Hierva los macarrones en agua con sal y escúrralos después de cocidos.; Fría el jamón en el aceite y agregue los demás ingredientes.; Cueza a fuego lento por 15 minutos.; Añada los macarrones y revuelva.; Sirva caliente.,Boil the macaroni in salted water and drain them after cooking.; Fry the ham in the oil and add the other ingredients; Simmer for 15 minutes.; Add the macaroni and stir.; Serve hot.,macarrones con sobreasada,macaroni with sobrassada,https://chroniclingamerica.loc.gov/lccn/sn82001257/1957-07-06/ed-1/seq-5/,,,
